Timestamp,Preferred_alcoholic_drink,num_of_parties_per_year,smoke_cigarettes,smoke_weed,introvert_extrovert,believe_love_at_first_sight,learning_style,left_right_brained,Myer_Briggs_personality,preferred_social_media_platform,instagram_followers,preferred_streaming_platform,preferred_age_to_marry,expected_starting_salary,fav_sport,exercise_minutes_per_week,hours_sleep_per_night
2023/09/16 9:24:38 pm GMT-5,Wine,2,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFP,Instagram,1600,Netflix,28,"90,000",Squash,420,6
2023/09/17 10:43:27 am GMT-5,I dont drink,1,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Instagram,1000,Netflix,27,110000,Swimming,240,8
2023/09/17 11:08:18 am GMT-5,I dont drink,4,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram,800,Netflix,30,100000,Basketball,300,7
2023/09/17 2:03:23 pm GMT-5,Beer,2,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram,680,crunchyroll,28,90k,Basketball,180,8
2023/09/17 4:22:01 pm GMT-5,Hard liquor/Mixed drink,5,No,Occasionally,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,TikTok,1100,Netflix,30,80000,Running,300,7
2023/09/17 9:37:21 pm GMT-5,I dont drink,0,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram,386,Netflix,30,47000,Volleyball,360,7
2023/09/17 11:44:58 pm GMT-5,Hard liquor/Mixed drink,4,Yes,Yes,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,TikTok,80,HBO Max,29,"100,000",NA,0,4
2023/09/18 3:56:55 am GMT-5,Wine,3,No,No,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram,1429,HBO Max,27,70000,Golf,300,8
2023/09/18 11:31:27 am GMT-5,I dont drink,3,No,Occasionally,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Instagram,600,Netflix,26,95000,Basketball,380,7
2023/09/18 11:55:11 am GMT-5,Hard liquor/Mixed drink,1,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,TikTok,750,Netflix,26,150000,Swimming,30,6
2023/09/18 1:48:58 pm GMT-5,I dont drink,5,Occasionally,Occasionally,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ESTP,Instagram,400,Hulu,30,50000,Dancing,300,6
2023/09/18 2:14:01 pm GMT-5,I dont drink,8,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Instagram,1000,Netflix,30,110000,Tennis,7,8
2023/09/18 2:23:00 pm GMT-5,Hard liquor/Mixed drink,5,No,No,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Instagram,300,Netflix,30,100000,Tennis,350,9
2023/09/18 2:37:18 pm GMT-5,Hard liquor/Mixed drink,1,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram,450,Disney+,27,60000,Soccer,30,7
2023/09/18 2:42:12 pm GMT-5,Hard liquor/Mixed drink,1,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Instagram,1127,Netflix,28,50000,Other,780,8
2023/09/18 4:20:32 pm GMT-5,I dont drink,1,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,350,Netflix,31,100000,Swimming,300,7
2023/09/18 7:06:58 pm GMT-5,I dont drink,1,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Instagram,130,Netflix,28,80000,Dancing,90,8
2023/09/18 8:21:37 pm GMT-5,Hard liquor/Mixed drink,3,No,Occasionally,Introvert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INTJ,TikTok,600,Netflix,27,100000,NA,3,8
2023/09/18 9:12:58 pm GMT-5,Wine,36,No,Yes,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,TikTok,1700,Netflix,27,70000,Other,4,7
2023/09/19 8:53:05 am GMT-5,I dont drink,0,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFP,Instagram,650,youtube,27,"60,000",Dancing,180,7
2023/09/19 9:30:54 am GMT-5,Hard liquor/Mixed drink,4,No,Yes,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Snapchat,"100,000",Netflix,28,100k,Soccer,300,7
2023/09/19 10:06:39 am GMT-5,I dont drink,12,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,TikTok,1.4k,Hulu,30,70000,Soccer,200,6
2023/09/19 10:23:54 am GMT-5,I dont drink,1,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram,630,Netflix,30,0,Boat sports (Sailing / Kayaking / Rafting / Rowing),250,7
2023/09/19 10:31:40 am GMT-5,I dont drink,1,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,1574,Hulu,27,60000,Tennis,360,7
2023/09/19 11:02:47 am GMT-5,Wine,2,No,No,Introvert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Instagram,800,Netflix,29,50000,Other,6,6
2023/09/19 11:39:10 am GMT-5,I dont drink,0,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram,505,HBO Max,28,150000,Table Tennis,240,7
2023/09/19 11:47:55 am GMT-5,I dont drink,2,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Instagram,700,Netflix,30,90000,Swimming,180,6
2023/09/19 11:48:13 am GMT-5,Wine,1,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram,350,HBO Max,32,80000,Soccer,30,6
2023/09/19 11:54:00 am GMT-5,Beer,2,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Instagram,1100,Amazon Prime,32,110000,Baseball,12,8
2023/09/19 12:17:40 pm GMT-5,I dont drink,0,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESTP,Instagram,586,Netflix,20,"85,000",Frisbee,300,7
2023/09/19 12:18:47 pm GMT-5,Wine,6,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",INTP,Instagram,3000,Netflix,30,90000,Tennis,630,7
2023/09/19 12:21:08 pm GMT-5,Hard liquor/Mixed drink,10,No,Occasionally,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTP,TikTok,90,Netflix,35,50000,Other,900,5
2023/09/19 12:59:18 pm GMT-5,Hard liquor/Mixed drink,1,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram,200,Netflix,30,60000,Swimming,100,9
2023/09/19 1:14:07 pm GMT-5,Beer,0,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,Instagram,1200,Netflix,28,150000,Other,10,7
2023/09/19 1:15:39 pm GMT-5,Beer,5,Occasionally,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Snapchat,6,Hulu,32,100000,Climbing,720,7
2023/09/19 1:34:56 pm GMT-5,Beer,3,No,Occasionally,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram,1133,Netflix,26,100000,Tennis,10,7
2023/09/19 2:05:19 pm GMT-5,I dont drink,3,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram,700,HBO Max,28,125000,Basketball,300,8
2023/09/19 2:05:40 pm GMT-5,Hard liquor/Mixed drink,3,No,Occasionally,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENTP,TikTok,1000,Hulu,26,"30,000",Basketball,2,6
2023/09/19 2:13:20 pm GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Extrovert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ENTP,Instagram,1400,Netflix,27,100000,Tennis,180,7
2023/09/19 2:20:12 pm GMT-5,Wine,4,No,No,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INTJ,Instagram,1300,Netflix,27,110000,Soccer,420,6
2023/09/19 2:46:19 pm GMT-5,I dont drink,0,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Instagram,450,Netflix,30,90000,NA,60,7
2023/09/19 3:53:24 pm GMT-5,Hard liquor/Mixed drink,2,Occasionally,Yes,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,TikTok,690,Netflix,99,"600,000",Skiing,200,7
2023/09/19 4:03:07 pm GMT-5,Wine,12,No,No,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,TikTok,1708,Netflix,25,80000,Tennis,300,8
2023/09/19 4:56:18 pm GMT-5,Wine,2,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ISTP,TikTok,1900,Netflix,27,100000,NA,60,9
2023/09/19 5:19:21 pm GMT-5,Beer,30,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Twitter,1000,Netflix,28,100000,Football (American),420,8
2023/09/19 5:23:14 pm GMT-5,Hard liquor/Mixed drink,6,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Twitter,500,I pirate the shows/movies I want to watch,32,70000,Swimming,2,6
2023/09/19 5:23:43 pm GMT-5,Hard liquor/Mixed drink,3,No,Yes,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",Unknown,TikTok,300,Netflix,28,60000,Soccer,120,8
2023/09/19 5:28:22 pm GMT-5,Hard liquor/Mixed drink,5,No,Occasionally,Extrovert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Instagram,1.6k,Netflix,30,0,Running,120,7
2023/09/19 6:05:21 pm GMT-5,I dont drink,1,No,No,Introvert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,TikTok,440,Netflix,30,70000,NA,0,7
2023/09/19 6:25:52 pm GMT-5,Beer,15,No,Occasionally,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Instagram,1000,Netflix,28,90000,Basketball,12,7
2023/09/19 6:29:19 pm GMT-5,Hard liquor/Mixed drink,9,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,TikTok,1300,Netflix,29,100000,Basketball,120,7
2023/09/19 6:36:57 pm GMT-5,Hard liquor/Mixed drink,30,No,Occasionally,Extrovert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Snapchat,880,Hulu,27,60000,Soccer,450,8
2023/09/19 6:43:36 pm GMT-5,I dont drink,6,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Instagram,1500,Netflix,27,80000,Other,14,8
2023/09/19 6:55:42 pm GMT-5,Hard liquor/Mixed drink,2,Occasionally,Occasionally,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INFP,Twitter,1200,Netflix,30,70000,Board sports (Snowboarding / surfing / paddleboarding / skateboarding etc.),4,7
2023/09/19 7:03:57 pm GMT-5,I dont drink,32,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",Unknown,Instagram,1700,Netflix,27,100000,Basketball,630,8
2023/09/19 7:17:13 pm GMT-5,Hard liquor/Mixed drink,4,No,Occasionally,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Twitter,455,Netflix,30,57000,Volleyball,120,6
2023/09/19 7:22:44 pm GMT-5,Hard liquor/Mixed drink,2,No,Occasionally,Introvert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,TikTok,1150,Netflix,33,70000,Soccer,40,6
2023/09/19 7:38:26 pm GMT-5,I dont drink,2,No,No,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Snapchat,1700,Hulu,28,60000,Volleyball,240,6
2023/09/19 8:17:58 pm GMT-5,I dont drink,0,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Twitter,43,None,28,65000,Other,120,7
2023/09/19 8:26:39 pm GMT-5,Beer,5,No,Yes,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFP,Instagram,1390,Netflix,29,70000,Frisbee,300,9
2023/09/19 8:43:22 pm GMT-5,Wine,4,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INTJ,Snapchat,"1,300",Netflix,28,100000,Dancing,240,8
2023/09/19 8:50:20 pm GMT-5,Beer,4,No,Yes,Extrovert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENFP,Instagram,1250,HBO Max,29,200000,Running,9,7
2023/09/19 8:53:23 pm GMT-5,Hard liquor/Mixed drink,3,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Instagram,720,Hulu,28,60000,Soccer,120,8
2023/09/19 10:31:20 pm GMT-5,Beer,8,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Twitter,1100,Hulu,29,90000,Softball,100,8
2023/09/19 10:37:52 pm GMT-5,I dont drink,2,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,1200,Netflix,28,80000,Tennis,120,8
2023/09/19 11:19:59 pm GMT-5,Hard liquor/Mixed drink,3,Occasionally,Occasionally,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",Unknown,TikTok,2000,Netflix,28,200000,Running,7,7
2023/09/19 11:52:19 pm GMT-5,I dont drink,2,No,No,Introvert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,700,Netflix,28,90000,Soccer,180,6
2023/09/20 12:49:38 am GMT-5,Wine,1,No,Occasionally,Extrovert,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENTP,Twitter,1500,HBO Max,28,80000,Singing,200,7
2023/09/20 12:57:13 am GMT-5,I dont drink,3,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,1600,HBO Max,33,60000,Squash,500,7
2023/09/20 8:47:38 am GMT-5,I dont drink,1,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,600,Netflix,28,70000,Volleyball,120,7
2023/09/20 9:17:19 am GMT-5,Wine,3,Occasionally,Occasionally,Extrovert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ESFJ,Instagram,1500,Netflix,27,90000,Weightlifting,4.5,8
2023/09/20 11:06:25 am GMT-5,Hard liquor/Mixed drink,6,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTP,TikTok,308,Netflix,30,80000,Swimming,180,7
2023/09/20 11:31:41 am GMT-5,I dont drink,3,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Instagram,254,Netflix,32,90000,Dancing,2,7
2023/09/20 11:47:57 am GMT-5,Wine,2,Yes,Yes,Introvert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,TikTok,2100,Netflix,30,120000,Climbing,360,7
