Drink,Calories,Saturated Fat (g),UnSaturated Fat (g),Trans Fat (g),Carb (g),Fiber (g),Protein (g),Sodium (mg)
Cool Lime Starbucks Refresher Beverage,45,0,0,0,11,0,0,10
Strawberry Acai Starbucks Refresher Beverage,80,0,0,0,18,1,0,10
Very Berry Hibiscus Starbucks Refresher Beverage,60,0,0,0,14,1,0,10
Evolution Fresh Organic Ginger Limeade,110,0,0,0,28,0,0,5
Iced Coffee,0,0,0,0,0,0,0,0
Iced Espresso Classics - Vanilla Latte,130,1,1,0.5,21,0,5,65
Iced Espresso Classics - Caffe Mocha,140,2,0,0.5,23,0,5,90
Iced Espresso Classics - Caramel Macchiato,130,1,1.2,0.3,21,0,5,65
Shaken Sweet Tea,80,0,0,0,19,0,0,10
Tazo Bottled Berry Blossom White,60,0,0,0,15,0,0,10
Tazo Bottled Black Mango,150,0,0,0,38,0,0,15
Tazo Bottled Black with Lemon,140,0,0,0,35,0,0,10
Tazo Bottled Brambleberry,140,0,0,0,35,0,0,15
Tazo Bottled Giant Peach,150,0,0,0,37,0,0,15
Tazo Bottled Iced Passion,70,0,0,0,17,0,0,10
Tazo Bottled Lemon Ginger,120,0,0,0,31,0,0,10
Tazo Bottled Organic Black Lemonade,140,0,0,0,35,0,0,10
Tazo Bottled Organic Iced Black Tea,60,0,0,0,15,0,0,10
Tazo Bottled Organic Iced Green Tea,120,0,0,0,31,0,0,10
Tazo Bottled Plum Pomegranate,140,0,0,0,35,0,0,10
Tazo Bottled Tazoberry,150,0,0,0,38,0,0,15
Tazo Bottled White Cranberry,140,0,0,0,35,0,0,10
Teavana Shaken Iced Black Tea,30,0,0,0,8,0,0,5
Teavana Shaken Iced Black Tea Lemonade,70,0,0,0,17,0,0,0
Teavana Shaken Iced Green Tea,30,0,0,0,8,0,0,5
Teavana Shaken Iced Green Tea Lemonade,70,0,0,0,17,0,0,5
Teavana Shaken Iced Passion Tango™ Tea,30,0,0,0,8,0,0,5
Teavana Shaken Iced Passion Tango™ Tea Lemonade,90,0,0,0,24,0,0,0
Teavana Shaken Iced Peach Green Tea,60,0,0,0,15,0,0,0
Iced Espresso Classics - Vanilla Latte,130,0,1.8,0.7,21,0,5,65
Iced Espresso Classics - Caffe Mocha,140,1,1.4,0.1,23,0,5,90
Iced Espresso Classics - Caramel Macchiato,130,2,0.2,0.3,21,0,5,65
Starbucks Refreshers™ Raspberry Pomegranate,90,0,0,0,27,0,0,0
Starbucks Refreshers™ Strawberry Lemonade,90,0,0,0,27,0,0,0
Starbucks Doubleshot Protein Dark Chocolate,210,0,2,0.5,33,2,20,115
Starbucks Doubleshot Protein Vanilla,200,0.6,0.7,1.2,34,2,20,120
Starbucks Iced Coffee Caramel,60,0,0,0,13,0,1,0
Starbucks Iced Coffee Light Sweetened,50,0,0,0,11,0,1,0
Starbucks Iced Coffee Unsweetened,10,0,0,0,2,0,1,0
Tazo Bottled Berry Blossom White,60,0,0,0,15,0,0,10
Tazo Bottled Black Mango,150,0,0,0,38,0,0,15
Tazo Bottled Black with Lemon,140,0,0,0,35,0,0,10
Tazo Bottled Brambleberry,140,0,0,0,35,0,0,15
Tazo Bottled Giant Peach,150,0,0,0,37,0,0,15
Tazo Bottled Iced Passion,70,0,0,0,17,0,0,10
Tazo Bottled Lemon Ginger,120,0,0,0,31,0,0,10
Tazo Bottled Organic Black Lemonade,140,0,0,0,35,0,0,10
Tazo Bottled Organic Iced Black Tea,60,0,0,0,15,0,0,10
Tazo Bottled Organic Iced Green Tea,120,0,0,0,31,0,0,10
Tazo Bottled Plum Pomegranate,140,0,0,0,35,0,0,10
Tazo Bottled Tazoberry,150,0,0,0,38,0,0,15
Tazo Bottled White Cranberry,140,0,0,0,35,0,0,10
Blonde Roast,5,0,0,0,0,0,1,10
Clover® Brewed Coffee,10,0,0,0,0,0,1,10
Decaf Pike Place® Roast,5,0,0,0,0,0,1,10
Featured Dark Roast,5,0,0,0,0,0,1,10
Iced Coffee,5,0,0,0,0,0,0,5
Nariño 70 Cold Brew,5,0,0,0,0,0,0,15
Nariño 70 Cold Brew with Milk,0,0,0,0,0,0,0,0
Nitro Cold Brew,5,0,0,0,0,0,0,10
Nitro Cold Brew with Sweet Cream,70,4,0.1,0.9,5,0,1,20
Pike Place® Roast,5,0,0,0,0,0,1,10
Vanilla Sweet Cream Cold Brew,110,5,1,0,14,0,1,25
Hot Chocolate,320,6,2.8,0.2,47,4,14,160
Starbucks Signature Hot Chocolate,430,16,0,10,45,5,12,115
Caffe Latte,190,1,5.7,0.3,19,0,13,170
Caffe Mocha,290,2,5.2,0.8,42,4,13,140
Cappuccino,120,2,1.3,0.7,12,0,8,100
Caramel Macchiato,250,2,4.5,0.5,35,0,10,150
Cinnamon Dolce Latte,260,0,5.2,0.8,40,0,11,150
Coconutmilk Mocha Macchiato,250,5,3.9,0.1,32,0,12,180
Flat White,180,5,1.9,0.1,18,0,12,160
Iced Caffè Latte,130,0,3.8,0.7,13,0,8,115
Iced Caffè Mocha,230,5,0.9,0.1,36,4,9,90
Iced Caramel Macchiato,250,7,0,0,37,0,10,150
Iced Cinnamon Dolce Latte,200,0,3.5,0.5,34,0,7,95
Iced Coconutmilk Mocha Macchiato,260,5,3.4,0.6,34,0,11,180
Iced Vanilla Latte,190,2,1.6,0.4,30,0,7,100
Iced White Chocolate Mocha,300,4,3.7,0.3,47,0,10,190
Latte Macchiato,190,6,0,1,19,0,12,160
Latte Macchiato,190,1,5.8,0.2,19,0,12,160
Starbucks Doubleshot® on Ice Beverage,45,1,0,0,5,0,3,40
Vanilla Latte,250,1,4.8,0.2,37,0,12,150
White Chocolate Mocha,360,3,7,1,53,0,14,240
Cinnamon Dolce Frappuccino® Blended Coffee,350,1,3.3,0.2,64,0,15,0
Coffee Light Frappuccino® Blended Coffee,110,0,0,0,24,0,3,200
Mocha Frappuccino® Blended Coffee,280,2,0,0.5,60,2,4,220
Mocha Light Frappuccino® Blended Coffee,140,0,0.5,0,28,1,4,180
Cinnamon Dolce Crème,200,6,0,0,28,0,10,135
Vanilla Crème,200,2,3.3,0.7,28,0,10,135
Chocolate Smoothie,320,2,2.2,0.8,53,8,20,170
Strawberry Smoothie,300,0,0.7,1,60,7,16,130
